Departamento,year,month,agg_ValorObservado
ARAUCA,2024,2,5.024545454545453
ARAUCA,2024,3,4.95087719298246
ARAUCA,2024,4,4.670195439739413
ARAUCA,2024,5,8.300343249427916
ARAUCA,2024,6,15.171012145748964
ARAUCA,2024,7,14.464054054054042
ARAUCA,2024,8,14.785054347826076
ARAUCA,2024,9,16.255325814536338
ARAUCA,2024,10,10.356997282608681
ARAUCA,2024,11,15.053005068790743
ARAUCA,2024,12,10.84718981972428
ARAUCA,2025,1,4.147982708933715
ARAUCA,2025,2,4.137837837837837
ARAUCA,2025,3,4.199999999999997
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2023,9,30.05751321279556
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2023,10,28.70371510423008
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2023,11,28.88814241486012
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2023,12,28.333678368497893
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,1,28.42335760738376
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,2,27.46850942655131
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,3,28.43609500805182
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,4,28.9888166237167
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,5,29.63079497285678
ARCHIPIÉLAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2024,6,29.601571589823834
ATLANTICO,2006,10,27.43074433656958
ATLANTICO,2006,11,28.565606361829026
ATLANTICO,2006,12,28.253880597014923
ATLANTICO,2007,1,26.120168067226885
ATLANTICO,2007,2,26.985479041916168
ATLANTICO,2007,3,27.157723577235778
ATLANTICO,2007,4,27.82322274881517
ATLANTICO,2007,5,28.191083676268864
ATLANTICO,2007,6,28.827662721893486
ATLANTICO,2007,7,28.58976157082749
ATLANTICO,2007,8,28.166574965612103
ATLANTICO,2007,9,28.57258522727273
ATLANTICO,2007,10,27.81767068273092
ATLANTICO,2007,12,27.376991150442482
ATLANTICO,2008,1,26.429457364341086
ATLANTICO,2008,2,26.49744990892532
ATLANTICO,2008,3,26.115517241379305
ATLANTICO,2008,4,27.174999999999997
ATLANTICO,2008,6,28.28553345388788
ATLANTICO,2008,7,28.242189781021896
ATLANTICO,2008,8,28.245269286754
ATLANTICO,2008,9,28.56128571428572
ATLANTICO,2008,10,28.206002728512956
ATLANTICO,2008,11,27.932823365785815
ATLANTICO,2008,12,27.55748930099857
ATLANTICO,2009,1,26.648117154811718
ATLANTICO,2009,2,26.485911179173048
ATLANTICO,2009,3,26.253881278538817
ATLANTICO,2009,4,27.11184210526315
ATLANTICO,2009,5,28.08867313915858
ATLANTICO,2009,6,28.430813953488368
ATLANTICO,2009,7,28.438227146814402
ATLANTICO,2009,8,28.530982019363766
