Departamento,year,day,agg_ValorObservado
ANTIOQUIA,2019,2,22.406767545529803
ANTIOQUIA,2019,3,22.540940379537954
ANTIOQUIA,2019,4,22.83042948696732
ANTIOQUIA,2019,5,22.369159007790074
ANTIOQUIA,2019,6,22.401872111356123
ANTIOQUIA,2019,7,20.247916666666658
ANTIOQUIA,2019,8,22.102033360607837
ANTIOQUIA,2019,9,19.0514254129979
ANTIOQUIA,2019,10,19.753816487946796
ANTIOQUIA,2019,11,20.42775376715177
ANTIOQUIA,2019,12,20.838842013283525
ANTIOQUIA,2019,13,20.657132155315615
ANTIOQUIA,2019,14,20.132347762613726
ANTIOQUIA,2019,15,21.643481244813277
ANTIOQUIA,2020,1,19.56070962845851
ANTIOQUIA,2020,2,20.418902233169153
ANTIOQUIA,2020,3,21.02268884700664
ANTIOQUIA,2020,4,21.239257071461946
ANTIOQUIA,2020,5,20.388925997420472
ANTIOQUIA,2020,6,19.834512114240347
ANTIOQUIA,2020,7,20.291564489956677
ANTIOQUIA,2020,8,20.13378951965062
ANTIOQUIA,2020,9,20.798606443894364
ANTIOQUIA,2020,10,20.850352954186416
ANTIOQUIA,2020,11,20.911661319115368
ANTIOQUIA,2020,12,21.47617396196516
ANTIOQUIA,2020,13,21.765696527072784
ANTIOQUIA,2020,14,22.25495887506759
ANTIOQUIA,2020,15,20.17987360836954
ANTIOQUIA,2021,1,19.34509683069229
ANTIOQUIA,2021,2,20.110265016863426
ANTIOQUIA,2021,3,19.20028834877845
ANTIOQUIA,2021,4,16.623212421052628
ANTIOQUIA,2021,9,19.839718959064317
ANTIOQUIA,2021,10,19.67732793755138
ANTIOQUIA,2021,11,19.2553343372483
ANTIOQUIA,2021,12,20.25163800167222
ANTIOQUIA,2021,13,20.36155497897388
ANTIOQUIA,2021,14,19.569493826266825
ANTIOQUIA,2021,15,20.071114622383988
ANTIOQUIA,2022,1,19.445155142045476
ANTIOQUIA,2022,2,19.046288976874557
ANTIOQUIA,2022,3,19.506718160642553
ANTIOQUIA,2022,4,19.40236741235391
ANTIOQUIA,2022,5,19.116111760268215
ANTIOQUIA,2022,6,17.774364120100117
ANTIOQUIA,2022,7,17.24452944769876
ANTIOQUIA,2022,8,17.01434675814753
ANTIOQUIA,2022,10,18.055979653739605
ANTIOQUIA,2022,11,17.66016100833333
ANTIOQUIA,2022,12,18.61412213333331
ANTIOQUIA,2022,13,17.908279849874887
ANTIOQUIA,2022,14,18.57845685571309
ANTIOQUIA,2022,15,19.046067834448174
ANTIOQUIA,2023,1,17.659944450000022
ANTIOQUIA,2023,2,18.663248160237362
ANTIOQUIA,2023,3,17.1656779117647
ANTIOQUIA,2023,4,18.453048033873337
ANTIOQUIA,2023,5,18.899549397944195
ANTIOQUIA,2023,6,18.668751710719505
ANTIOQUIA,2023,7,18.171368682855025
ANTIOQUIA,2023,8,17.772654446886435
ANTIOQUIA,2023,9,17.990525746705718
ANTIOQUIA,2023,10,17.242534643119942
ANTIOQUIA,2023,11,18.135999941262813
ANTIOQUIA,2023,12,18.550999879828304
ANTIOQUIA,2023,13,19.138191044776136
ANTIOQUIA,2023,14,19.13598619626167
ANTIOQUIA,2023,15,19.61536488350416
ANTIOQUIA,2025,1,19.01155131264919
ANTIOQUIA,2025,2,19.50846409890636
ANTIOQUIA,2025,3,18.885612196283923
ANTIOQUIA,2025,4,18.887648456056983
ANTIOQUIA,2025,5,18.805862726406133
ANTIOQUIA,2025,6,19.622803553800576
ANTIOQUIA,2025,7,20.235343915343908
ANTIOQUIA,2025,8,20.961605584642246
ANTIOQUIA,2025,9,20.724045801526753
ANTIOQUIA,2025,10,20.035113035113056
ANTIOQUIA,2025,11,20.459622641509426
ANTIOQUIA,2025,12,20.53439278937385
ANTIOQUIA,2025,13,19.595879252515584
ANTIOQUIA,2025,14,19.847656250000046
ANTIOQUIA,2025,15,18.97134831460674
ARAUCA,2016,1,2.076363636363636
ARAUCA,2016,2,2.3808695652173912
ARAUCA,2016,3,3.7199999999999993
ARAUCA,2016,4,4.134166666666666
ARAUCA,2016,5,4.27625
ARAUCA,2016,6,4.443043478260869
ARAUCA,2016,7,6.181304347826088
