Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
prim,RAIN,6,AMAZONAS,17,-0.0594452885541684,0.8207117861198986,0.8754259051945585,False
prim,RAIN,6,ANTIOQUIA,20,0.4168548960348432,0.06748038358686025,0.1661055595984252,False
prim,RAIN,6,ARAUCA,9,0.5254992153061281,0.14624025831231624,0.32690708086682496,False
prim,RAIN,6,ATLANTICO,18,0.4413351284400122,0.06673542746983396,0.1661055595984252,False
prim,RAIN,6,BOGOTA,20,0.2827074701006125,0.22715207949067712,0.3634433271850834,False
prim,RAIN,6,BOLIVAR,19,0.21883532109146203,0.3680656511630048,0.4907542015506731,False
prim,RAIN,6,BOYACA,22,0.551880675822743,0.007748264493809742,0.04958889276038235,True
prim,RAIN,6,CALDAS,19,-0.30281737071266457,0.2076033510249121,0.3496477490945888,False
prim,RAIN,6,CAQUETA,19,0.22923961895571768,0.34514375333660396,0.4802000046422316,False
prim,RAIN,6,CASANARE,19,-0.46278414351472236,0.04601727649155608,0.15084170744060243,False
prim,RAIN,6,CAUCA,18,0.6685313672375064,0.0024206872249683434,0.019365497799746747,True
prim,RAIN,6,CESAR,20,-0.13080698941145893,0.5825314752869954,0.6904076744142168,False
prim,RAIN,6,CHOCO,19,0.8087719298245614,2.7672197202341864e-05,0.0004427551552374698,True
prim,RAIN,6,CORDOBA,20,0.5069830062346429,0.022521113806128777,0.09008445522451511,False
prim,RAIN,6,CUNDINAMARCA,21,0.3155844155844156,0.16345354043341248,0.32690708086682496,False
prim,RAIN,6,GUAINIA,19,-0.04621271755812337,0.8509857611390463,0.8784369147241768,False
prim,RAIN,6,GUAVIARE,4,0.7999999999999999,0.20000000000000007,0.3496477490945888,False
prim,RAIN,6,HUILA,20,0.44060150375939844,0.05185183693270709,0.15084170744060243,False
prim,RAIN,6,LA GUAJIRA,19,0.26014473484162737,0.28209754587656966,0.4298629270500109,False
prim,RAIN,6,MAGDALENA,20,0.3251852207700926,0.16181307487975152,0.32690708086682496,False
prim,RAIN,6,META,19,-0.553406853955969,0.013972215475410782,0.06387298503044929,False
prim,RAIN,6,NARINO,20,0.5409129714396215,0.013789460212898652,0.06387298503044929,False
prim,RAIN,6,NORTE DE SANTANDER,19,-0.03275927299130866,0.8940864663301042,0.8940864663301042,False
prim,RAIN,6,PUTUMAYO,17,-0.2087151388532853,0.42144382252282897,0.5394480928292211,False
prim,RAIN,6,QUINDIO,20,0.23467378260668145,0.31929115063495406,0.46442349183266046,False
prim,RAIN,6,RISARALDA,24,0.1521311802485776,0.47792208689138693,0.5882117992509378,False
prim,RAIN,6,SAN ANDRES PROVIDENCIA,12,0.41550326097035933,0.17918196554757052,0.3372836998542504,False
