Departamento,date,sum_ValorObservado
AMAZONAS,2008-05-28,92.0
AMAZONAS,2008-05-29,87.33333333333333
AMAZONAS,2008-05-30,86.95833333333333
AMAZONAS,2008-05-31,94.04347826086956
AMAZONAS,2008-06-01,90.0
AMAZONAS,2008-06-02,87.625
AMAZONAS,2008-06-03,84.33333333333333
AMAZONAS,2008-06-04,85.625
AMAZONAS,2008-06-05,80.75
AMAZONAS,2008-06-06,87.05263157894737
AMAZONAS,2008-06-07,91.66666666666667
AMAZONAS,2008-06-08,84.52941176470588
AMAZONAS,2008-06-09,80.92857142857143
AMAZONAS,2008-06-10,81.27272727272727
AMAZONAS,2008-06-11,80.94444444444444
AMAZONAS,2008-06-12,84.83333333333333
AMAZONAS,2008-06-13,85.66666666666667
AMAZONAS,2008-06-14,88.91666666666667
AMAZONAS,2008-06-15,84.83333333333333
AMAZONAS,2008-06-16,86.08333333333333
AMAZONAS,2008-06-17,91.17391304347827
AMAZONAS,2008-06-18,91.04166666666667
AMAZONAS,2008-06-19,86.41666666666667
AMAZONAS,2008-06-20,84.16666666666667
AMAZONAS,2008-06-21,87.83333333333333
AMAZONAS,2008-06-22,89.5
AMAZONAS,2008-06-23,98.16666666666667
AMAZONAS,2008-06-25,84.08695652173913
AMAZONAS,2008-06-26,87.29166666666667
AMAZONAS,2008-06-27,85.04166666666667
AMAZONAS,2008-06-28,85.21739130434783
AMAZONAS,2008-06-29,82.5
AMAZONAS,2008-06-30,82.875
AMAZONAS,2008-07-01,82.16666666666667
AMAZONAS,2008-07-02,79.875
AMAZONAS,2008-07-03,79.83333333333333
AMAZONAS,2008-07-04,75.77272727272727
AMAZONAS,2008-07-05,82.625
AMAZONAS,2008-07-06,91.21739130434783
AMAZONAS,2008-07-07,90.04166666666667
AMAZONAS,2008-07-08,89.875
AMAZONAS,2008-07-09,91.75
AMAZONAS,2008-07-10,89.26086956521739
AMAZONAS,2008-07-11,92.875
AMAZONAS,2008-07-12,88.5
AMAZONAS,2008-07-13,85.17391304347827
AMAZONAS,2008-07-14,85.45833333333333
AMAZONAS,2008-07-15,85.20833333333333
AMAZONAS,2008-07-16,87.625
