Departamento,year,day,agg_ValorObservado
ANTIOQUIA,2015,10,0.0
ANTIOQUIA,2015,11,2.0100000000000002
ANTIOQUIA,2015,12,0.16
ANTIOQUIA,2015,13,2.16
ANTIOQUIA,2015,14,0.25
ANTIOQUIA,2015,15,0.6699999999999999
ANTIOQUIA,2016,1,6.409999999999999
ANTIOQUIA,2016,2,37.05000000000001
ANTIOQUIA,2016,3,38.27
ANTIOQUIA,2016,4,41.20000000000002
ANTIOQUIA,2016,5,8.62
ANTIOQUIA,2016,6,10.2
ANTIOQUIA,2016,7,9.829999999999995
ANTIOQUIA,2016,8,18.9
ANTIOQUIA,2016,9,0.7
ANTIOQUIA,2016,10,1.6
ANTIOQUIA,2016,11,2.8000000000000003
ANTIOQUIA,2016,12,0.27
ANTIOQUIA,2016,13,0.30000000000000004
ANTIOQUIA,2016,14,0.1
ANTIOQUIA,2016,15,0.1
ANTIOQUIA,2017,1,48.90000000000003
ANTIOQUIA,2017,2,0.4
ANTIOQUIA,2017,3,17.0
ANTIOQUIA,2017,4,5.499999999999998
ANTIOQUIA,2017,5,21.605999999999998
ANTIOQUIA,2017,6,0.8999999999999999
ANTIOQUIA,2017,7,39.91000000000002
ANTIOQUIA,2017,8,94.79999999999995
ANTIOQUIA,2017,9,62.600000000000016
ANTIOQUIA,2017,10,3.2
ANTIOQUIA,2017,11,32.83900000000001
ANTIOQUIA,2017,12,0.1
ANTIOQUIA,2017,13,0.0
ANTIOQUIA,2017,14,0.0
ANTIOQUIA,2017,15,0.0
ANTIOQUIA,2018,1,299.16200000000003
ANTIOQUIA,2018,2,165.89500000000004
ANTIOQUIA,2018,3,292.087
ANTIOQUIA,2018,4,210.87400000000005
ANTIOQUIA,2018,5,84.76499999999997
ANTIOQUIA,2018,6,98.72599999999998
ANTIOQUIA,2018,7,175.6
ANTIOQUIA,2018,8,118.23899999999999
ANTIOQUIA,2018,9,661.1469999999999
ANTIOQUIA,2018,10,251.851
ANTIOQUIA,2018,11,162.80499999999986
ANTIOQUIA,2018,12,307.05
ANTIOQUIA,2018,13,179.41399999999993
ANTIOQUIA,2018,14,207.79999999999998
ANTIOQUIA,2018,15,149.1409999999999
ANTIOQUIA,2019,1,282.0
ANTIOQUIA,2019,2,283.09999999999997
ANTIOQUIA,2019,3,282.5
ANTIOQUIA,2019,4,283.604
ANTIOQUIA,2019,5,299.81899999999996
ANTIOQUIA,2019,6,344.51000000000005
ANTIOQUIA,2019,7,328.81699999999995
ANTIOQUIA,2019,8,384.1149999999999
ANTIOQUIA,2019,9,403.05800000000016
ANTIOQUIA,2019,10,63.88199999999999
ANTIOQUIA,2019,11,54.695
ANTIOQUIA,2019,12,82.144
ANTIOQUIA,2019,13,85.94200000000002
ANTIOQUIA,2019,14,84.53200000000001
ANTIOQUIA,2019,15,32.614000000000004
ANTIOQUIA,2020,1,117.25999999999998
ANTIOQUIA,2020,2,63.712000000000145
ANTIOQUIA,2020,3,8.8
ANTIOQUIA,2020,4,2.005
ANTIOQUIA,2020,5,5.705000000000001
ANTIOQUIA,2020,6,1.305
ANTIOQUIA,2020,7,1.612
ANTIOQUIA,2020,8,1.4100000000000001
ANTIOQUIA,2020,9,0.2
ANTIOQUIA,2020,10,0.30000000000000004
ANTIOQUIA,2020,11,0.20500000000000002
ANTIOQUIA,2020,12,0.31100000000000005
ANTIOQUIA,2020,13,10.729999999999997
ANTIOQUIA,2020,14,21.233
ANTIOQUIA,2020,15,1.0
ANTIOQUIA,2021,1,227.3759999999998
ANTIOQUIA,2021,2,247.06499999999983
ANTIOQUIA,2021,3,346.49199999999985
ANTIOQUIA,2021,4,78.96400000000001
ANTIOQUIA,2021,9,306.80999999999983
ANTIOQUIA,2021,10,305.7139999999999
ANTIOQUIA,2021,11,342.00499999999994
ANTIOQUIA,2021,12,248.04100000000003
ANTIOQUIA,2021,13,224.5769999999997
ANTIOQUIA,2021,14,251.58699999999973
ANTIOQUIA,2021,15,236.72899999999976
ANTIOQUIA,2022,1,91.94700000000002
ANTIOQUIA,2022,2,160.9729999999998
ANTIOQUIA,2022,3,2.0749999999999997
ANTIOQUIA,2022,4,0.013000000000000001
ANTIOQUIA,2022,5,20.799999999999997
ANTIOQUIA,2022,6,147.5169999999996
ANTIOQUIA,2022,7,62.299000000000134
ANTIOQUIA,2022,8,0.7
ANTIOQUIA,2022,10,11.641999999999994
ANTIOQUIA,2022,11,9.485999999999997
ANTIOQUIA,2022,12,20.496000000000002
ANTIOQUIA,2022,13,79.9709999999999
ANTIOQUIA,2022,14,12.202999999999998
ANTIOQUIA,2022,15,0.12300000000000003
ANTIOQUIA,2023,1,12.754999999999994
ANTIOQUIA,2023,2,58.80800000000004
ANTIOQUIA,2023,3,105.58599999999987
ANTIOQUIA,2023,4,11.625999999999992
ANTIOQUIA,2023,5,89.38800000000002
ANTIOQUIA,2023,6,101.71499999999995
ANTIOQUIA,2023,7,82.62800000000006
ANTIOQUIA,2023,8,84.35300000000002
ANTIOQUIA,2023,9,181.564
ANTIOQUIA,2023,10,69.85700000000014
