Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
RAIN,10,Baseline,HGB,114325696.26733063,119654266.52252492,0.04453305686505704,0.03890944124215889,,,,
RAIN,10,DeptClim,Ridge,135926315.61341494,123760417.45784074,-0.09830201291716345,-0.1426783556805875,-4.527277901948047,0.6818137960242489,0.2525707854189253,0.8034616085285504
RAIN,10,DeptClim,RF,118390649.30752106,123760417.45784074,0.04338841336042598,0.00473700130717114,,,,
RAIN,10,DeptClim,HGB,114325696.26733063,123760417.45784074,0.07623375376641783,0.03890944124215889,,,,
RAIN,10,Persist,Ridge,135926315.61341494,103177315.2633009,-0.3174050445734222,-0.1426783556805875,-2.803792711475154,-0.13227359966710922,1.2926046566241212,0.21249492954343152
RAIN,10,Persist,RF,118390649.30752106,103177315.2633009,-0.14744843869407598,0.00473700130717114,,,,
RAIN,10,Persist,HGB,114325696.26733063,103177315.2633009,-0.10805069869844819,0.03890944124215889,,,,
RAIN,11,Baseline,Ridge,228739867.76348045,223065179.81174907,-0.025439595532213533,-0.03187510954111272,-3.8911551765608072,0.2666712662610234,0.13826186193180875,0.8915684778133812
RAIN,11,Baseline,RF,237323102.05959028,223065179.81174907,-0.06391818866518695,-0.0705951888876366,,,,
RAIN,11,Baseline,HGB,215728124.8196306,223065179.81174907,0.03289197802324151,0.026822544727836073,,,,
RAIN,11,DeptClim,Ridge,228739867.76348045,221264390.2980911,-0.03378527134582421,-0.03187510954111272,-0.8525837889783714,0.6035659965565829,0.20315955107253134,0.8412892458123049
RAIN,11,DeptClim,RF,237323102.05959028,221264390.2980911,-0.07257702759971729,-0.0705951888876366,,,,
RAIN,11,DeptClim,HGB,215728124.8196306,221264390.2980911,0.025021041438262892,0.026822544727836073,,,,
RAIN,11,Persist,Ridge,228739867.76348045,131474303.32692386,-0.7398066540401902,-0.03187510954111272,-28.10121552231647,-0.010010904267160078,1.4441988554038603,0.16586471698056315
RAIN,11,Persist,RF,237323102.05959028,131474303.32692386,-0.8050911551093214,-0.0705951888876366,,,,
RAIN,11,Persist,HGB,215728124.8196306,131474303.32692386,-0.6408386989752763,0.026822544727836073,,,,
RAIN,12,Baseline,Ridge,209857197.13993457,207361140.63185227,-0.012037243335354608,-0.01768763816512231,-4.584552753575382,0.3010588143187662,0.06624150767538046,0.9479157557109692
RAIN,12,Baseline,RF,221981798.71971574,207361140.63185227,-0.07050818703693817,-0.07648503617474534,,,,
RAIN,12,Baseline,HGB,197655927.50616843,207361140.63185227,0.046803432389072475,0.041481556150969934,,,,
RAIN,12,DeptClim,Ridge,209857197.13993457,205089063.73401552,-0.023249086611965453,-0.01768763816512231,-0.8861780994764574,0.7579145003397779,0.1426847230253091,0.888124235199149
RAIN,12,DeptClim,RF,221981798.71971574,205089063.73401552,-0.08236780000911592,-0.07648503617474534,,,,
RAIN,12,DeptClim,HGB,197655927.50616843,205089063.73401552,0.03624345488010661,0.041481556150969934,,,,
RAIN,12,Persist,Ridge,209857197.13993457,4493766.636621969,-45.69962063221141,-0.01768763816512231,-90.57779314615824,-1.0610708906128232,1.5920042246704278,0.1287925876803533
RAIN,12,Persist,RF,221981798.71971574,4493766.636621969,-48.39771391568806,-0.07648503617474534,,,,
RAIN,12,Persist,HGB,197655927.50616843,4493766.636621969,-42.98446637067681,0.041481556150969934,,,,
TEMP,2,Baseline,Ridge,8.386076246005231,35.670671224099266,0.7649027630200701,0.7641261399186559,0.6809749517564914,0.8775842779672954,-11.081581096110588,1.7981798272614924e-09
TEMP,2,Baseline,RF,9.276739846969036,35.670671224099266,0.7399336898179356,0.7390745835732961,,,,
TEMP,2,Baseline,HGB,8.877420117194399,35.670671224099266,0.7511283131897789,0.7503061874015408,,,,
TEMP,2,DeptClim,Ridge,8.386076246005231,10.686980647998325,0.21529976312103216,0.7641261399186559,-0.04578716594237178,0.5400157309241329,-1.1233547797368533,0.276046741296623
TEMP,2,DeptClim,RF,9.276739846969036,10.686980647998325,0.13195876810101903,0.7390745835732961,,,,
TEMP,2,DeptClim,HGB,8.877420117194399,10.686980647998325,0.16932383340123836,0.7503061874015408,,,,
TEMP,2,Persist,Ridge,8.386076246005231,4.429403650501124,-0.8932743339064315,0.7641261399186559,-2.1971855326080934,-0.27557789471693955,1.9487377624352937,0.06708822983192952
TEMP,2,Persist,RF,9.276739846969036,4.429403650501124,-1.094354134087442,0.7390745835732961,,,,
TEMP,2,Persist,HGB,8.877420117194399,4.429403650501124,-1.004202104314888,0.7503061874015408,,,,
TEMP,3,Baseline,Ridge,9.061546004666061,34.184235214247444,0.7349203237143257,0.7338427173424388,0.6629972738251199,0.8178501338588213,-9.81205604235852,1.1949703893066044e-08
TEMP,3,Baseline,RF,9.105954817874515,34.184235214247444,0.7336212215717701,0.7325383340679377,,,,
TEMP,3,Baseline,HGB,8.944618304870819,34.184235214247444,0.7383408390209402,0.7372771377855811,,,,
TEMP,3,DeptClim,Ridge,9.061546004666061,11.638451755937924,0.22141310591051155,0.7338427173424388,0.04987663351711696,0.3978347196746183,-1.8609949546248223,0.07915987352314824
TEMP,3,DeptClim,RF,9.105954817874515,11.638451755937924,0.21759740824386986,0.7325383340679377,,,,
TEMP,3,DeptClim,HGB,8.944618304870819,11.638451755937924,0.23145977725883637,0.7372771377855811,,,,
TEMP,3,Persist,Ridge,9.061546004666061,4.621967361860893,-0.9605387263093326,0.7338427173424388,-2.4189901110536067,-0.3026629094263559,2.246654034550203,0.037445946212300685
TEMP,3,Persist,RF,9.105954817874515,4.621967361860893,-0.9701469320216669,0.7325383340679377,,,,
TEMP,3,Persist,HGB,8.944618304870819,4.621967361860893,-0.9352404732839876,0.7372771377855811,,,,
TEMP,4,Baseline,Ridge,8.796894009938788,33.98969927812151,0.7411894133585003,0.7402591970693164,0.6800940985112476,0.8100533259049366,-10.742181017125542,2.935174547857855e-09
TEMP,4,Baseline,RF,9.190262328509291,33.98969927812151,0.7296162506967256,0.7286444381785581,,,,
TEMP,4,Baseline,HGB,9.220145226561113,33.98969927812151,0.728737075573483,0.7277621031265378,,,,
TEMP,4,DeptClim,Ridge,8.796894009938788,11.290256690287567,0.22084198337967753,0.7402591970693164,0.04403065952731032,0.38062168472346264,-1.8649678502282794,0.07857431681235116
TEMP,4,DeptClim,RF,9.190262328509291,11.290256690287567,0.18600058611464465,0.7286444381785581,,,,
TEMP,4,DeptClim,HGB,9.220145226561113,11.290256690287567,0.18335379969768673,0.7277621031265378,,,,
TEMP,4,Persist,Ridge,8.796894009938788,3.2823373434082193,-1.6800700505708903,0.7402591970693164,-4.0669447813034205,-0.7259793365395104,3.121730523615054,0.005892303828320289
TEMP,4,Persist,RF,9.190262328509291,3.2823373434082193,-1.7999140146169652,0.7286444381785581,,,,
TEMP,4,Persist,HGB,9.220145226561113,3.2823373434082193,-1.8090181666054361,0.7277621031265378,,,,
TEMP,5,Baseline,Ridge,10.89841027348065,33.67765342900965,0.6763904499328077,0.6752333349840083,0.6067619592338684,0.7474244044810635,-8.952786988255824,4.762685512638143e-08
TEMP,5,Baseline,RF,11.703997397018568,33.67765342900965,0.6524699257420102,0.6512272793368044,,,,
TEMP,5,Baseline,HGB,11.77795921356483,33.67765342900965,0.6502737567986434,0.6490232576588258,,,,
TEMP,5,DeptClim,Ridge,10.89841027348065,12.671673351061294,0.13993914051076195,0.6752333349840083,-0.04191528162707796,0.2727721925059117,-1.241927996520618,0.2302022397810688
TEMP,5,DeptClim,RF,11.703997397018568,12.671673351061294,0.07636528556519961,0.6512272793368044,,,,
TEMP,5,DeptClim,HGB,11.77795921356483,12.671673351061294,0.0705285018589602,0.6490232576588258,,,,
TEMP,5,Persist,Ridge,10.89841027348065,2.2067224762265125,-3.938731712252685,0.6752333349840083,-6.858152931402787,-2.4311000939370295,5.248317977086953,5.441276931139605e-05
TEMP,5,Persist,RF,11.703997397018568,2.2067224762265125,-4.303792172830161,0.6512272793368044,,,,
TEMP,5,Persist,HGB,11.77795921356483,2.2067224762265125,-4.337308764673073,0.6490232576588258,,,,
TEMP,6,Baseline,Ridge,12.753995895774338,34.340163095864156,0.628598272519259,0.6275245761994688,0.5473606036832221,0.7135610476767227,-8.418054433407873,1.1775891883836209e-07
TEMP,6,Baseline,RF,13.103280787157813,34.340163095864156,0.6184269494999591,0.6173238485994006,,,,
