,Departamento,Year,Month/Day,Rain_day,Rain_month,Temp_day,Temp_month,Humi_day,Humi_month
240,CASANARE,2006,8,0.0,0.0,25.97083333333333,25.962651408899653,74.79166666666667,86.13922838887777
241,CAUCA,2006,8,22.800000000000004,0.0,20.421311475409837,22.74740533091342,88.72131147540983,79.85445874905673
242,CESAR,2006,8,0.0,186.40000000000003,27.306249999999995,26.49063030532605,63.9375,74.99966785085626
243,CHOCO,2006,8,0.0,743.0,26.22083333333333,27.723152811424196,,
244,CORDOBA,2006,8,1.1,46.199999999999996,27.003296703296705,28.313705312870198,,
245,CUNDINAMARCA,2006,8,27.10000000000001,1058.4,15.237606837606837,16.51625948658648,,
246,GUAINIA,2006,8,0.0,0.0,24.683333333333337,26.30097105750102,,
247,GUAVIARE,2006,8,0.0,0.0,38.6,,,
248,HUILA,2006,8,29.500000000000007,11367.699999999997,20.59677419354838,20.96052483671827,,
249,LA GUAJIRA,2006,8,0.0,0.0,25.995744680851068,30.075835471615772,,
250,MAGDALENA,2006,8,0.0,247.39999999999998,,22.254829434389187,,
251,META,2006,8,0.0,0.0,26.820833333333336,25.264753741743114,,
252,NARINO,2006,8,0.0,0.0,15.412244897959184,14.57682190879296,,
253,NORTE DE SANTANDER,2006,8,15.699999999999992,0.0,23.20833333333334,28.008739277937362,,
254,PUTUMAYO,2006,8,0.0,0.0,,24.653786447741126,,
255,QUINDIO,2006,8,0.0,0.0,18.008888888888887,19.241742282573274,,
256,RISARALDA,2006,8,0.0,0.0,17.930508474576268,19.229649131858423,,
257,SAN ANDRES PROVIDENCIA,2006,8,0.0,0.0,,,,
258,SANTANDER,2006,8,8.599999999999998,451.69999999999993,15.012195121951216,16.493455887923727,,
259,SUCRE,2006,8,0.0,68.2,24.936,17.048179290823565,,
260,TOLIMA,2006,8,3.9,3093.1000000000004,24.895000000000003,19.740237556536293,,
261,VALLE DEL CAUCA,2006,8,0.0,0.0,20.69782608695652,21.716186426191438,,
262,VAUPES,2006,8,0.0,0.0,,,,
263,VICHADA,2006,8,0.0,0.0,,,,
264,AMAZONAS,2006,9,0.0,0.0,,,,
265,ANTIOQUIA,2006,9,0.2,165.9,17.956589147286827,19.30855891535283,73.4726368159204,80.76660643970487
266,ARAUCA,2006,9,0.0,0.0,,,,
267,ATLANTICO,2006,9,0.0,0.0,,,,
268,BOGOTA,2006,9,14.499999999999998,14.6,13.308333333333335,14.254975845410627,,
269,BOLIVAR,2006,9,0.0,0.0,,27.476190397766484,,82.6869816174164
270,BOYACA,2006,9,0.1,123.5,16.959859154929582,13.186040035808466,79.08484848484848,80.65795895449489
271,CALDAS,2006,9,0.0,0.0,17.619565217391305,18.146063630766943,84.02173913043478,79.1296370902712
272,CAQUETA,2006,9,0.0,0.0,27.1,24.388691391320677,80.20833333333333,85.69093836691765
273,CASANARE,2006,9,0.0,0.0,25.287500000000005,26.796795878035013,70.625,82.83847010477443
274,CAUCA,2006,9,2.2,33.599999999999994,20.082882882882878,22.93243166182577,89.75675675675676,83.2447610963828
275,CESAR,2006,9,0.0,190.4,28.04489795918367,25.710838681722574,53.208333333333336,75.5406167331409
276,CHOCO,2006,9,0.0,752.9999999999999,26.26666666666667,27.105973606161363,,
